Adobe After Effects 6.0 Keyframe Data

	Units Per Second	15
	Source Width	854
	Source Height	480
	Source Pixel Aspect Ratio	0.999175
	Comp Pixel Aspect Ratio	0.999175

Anchor Point
	Frame	X pixels	Y pixels	Z pixels	
	0	384.845	395.91	0	
	1	384.845	395.91	0	
	2	384.845	395.91	0	
	3	384.845	395.91	0	
	4	384.845	395.91	0	
	5	384.845	395.91	0	
	6	384.845	395.91	0	
	7	384.845	395.91	0	
	8	384.845	395.91	0	
	9	384.845	395.91	0	
	10	384.845	395.91	0	
	11	384.845	395.91	0	
	12	384.845	395.91	0	
	13	384.845	395.91	0	
	14	384.845	395.91	0	
	15	384.845	395.91	0	
	16	384.845	395.91	0	
	17	384.845	395.91	0	
	18	384.845	395.91	0	
	19	384.845	395.91	0	
	20	384.845	395.91	0	
	21	384.845	395.91	0	
	22	384.845	395.91	0	
	23	384.845	395.91	0	
	24	384.845	395.91	0	
	25	384.845	395.91	0	
	26	384.845	395.91	0	
	27	384.845	395.91	0	
	28	384.845	395.91	0	
	29	384.845	395.91	0	
	30	384.845	395.91	0	
	31	384.845	395.91	0	
	32	384.845	395.91	0	
	33	384.845	395.91	0	
	34	384.845	395.91	0	
	35	384.845	395.91	0	
	36	384.845	395.91	0	
	37	384.845	395.91	0	
	38	384.845	395.91	0	
	39	384.845	395.91	0	
	40	384.845	395.91	0	
	41	384.845	395.91	0	
	42	384.845	395.91	0	
	43	384.845	395.91	0	
	44	384.845	395.91	0	
	45	384.845	395.91	0	
	46	384.845	395.91	0	
	47	384.845	395.91	0	
	48	384.845	395.91	0	
	49	384.845	395.91	0	
	50	384.845	395.91	0	
	51	384.845	395.91	0	
	52	384.845	395.91	0	
	53	384.845	395.91	0	
	54	384.845	395.91	0	
	55	384.845	395.91	0	
	56	384.845	395.91	0	
	57	384.845	395.91	0	
	58	384.845	395.91	0	
	59	384.845	395.91	0	
	60	384.845	395.91	0	
	61	384.845	395.91	0	
	62	384.845	395.91	0	
	63	384.845	395.91	0	
	64	384.845	395.91	0	
	65	384.845	395.91	0	
	66	384.845	395.91	0	
	67	384.845	395.91	0	
	68	384.845	395.91	0	
	69	384.845	395.91	0	
	70	384.845	395.91	0	
	71	384.845	395.91	0	
	72	384.845	395.91	0	
	73	384.845	395.91	0	
	74	384.845	395.91	0	
	75	384.845	395.91	0	
	76	384.845	395.91	0	
	77	384.845	395.91	0	
	78	384.845	395.91	0	
	79	384.845	395.91	0	
	80	384.845	395.91	0	
	81	384.845	395.91	0	
	82	384.845	395.91	0	
	83	384.845	395.91	0	
	84	384.845	395.91	0	
	85	384.845	395.91	0	
	86	384.845	395.91	0	
	87	384.845	395.91	0	
	88	384.845	395.91	0	
	89	384.845	395.91	0	
	90	384.845	395.91	0	
	91	384.845	395.91	0	
	92	384.845	395.91	0	
	93	384.845	395.91	0	
	94	384.845	395.91	0	
	95	386.308	367.886	0	
	96	388.057	320.431	0	
	97	389.016	301.825	0	
	98	390.064	275.394	0	
	99	390.853	259.334	0	
	100	390.892	253.495	0	
	101	390.974	245.509	0	
	102	390.986	243.381	0	
	103	391.094	244.767	0	
	104	391.502	248.304	0	
